Date,Close/Last,Volume,Open,High,Low
04/10/2024,$167.78,49709340,$168.80,$169.09,$167.11
04/09/2024,$169.67,42451210,$168.70,$170.08,$168.35
04/08/2024,$168.45,37425510,$169.03,$169.20,$168.24
04/05/2024,$169.58,42104830,$169.59,$170.39,$168.95
04/04/2024,$168.82,53704390,$170.29,$171.92,$168.82
04/03/2024,$169.65,47691720,$168.79,$170.68,$168.58
04/02/2024,$168.84,49329480,$169.08,$169.34,$168.2302
04/01/2024,$170.03,46240500,$171.19,$171.25,$169.475
03/28/2024,$171.48,65672690,$171.75,$172.23,$170.51
03/27/2024,$173.31,60273270,$170.41,$173.60,$170.11
03/26/2024,$169.71,57388450,$170.00,$171.42,$169.58
03/25/2024,$170.85,54288330,$170.565,$171.94,$169.45
03/22/2024,$172.28,71160140,$171.76,$173.05,$170.06
03/21/2024,$171.37,106181300,$177.05,$177.49,$170.84
03/20/2024,$178.67,53423100,$175.72,$178.67,$175.09
03/19/2024,$176.08,55215240,$174.34,$176.605,$173.03
03/18/2024,$173.72,75604180,$175.57,$177.71,$173.52
03/15/2024,$172.62,121752700,$171.17,$172.62,$170.285
03/14/2024,$173.00,72913510,$172.91,$174.3078,$172.05
03/13/2024,$171.13,52488690,$172.77,$173.185,$170.76
03/12/2024,$173.23,59825370,$173.15,$174.03,$171.01
03/11/2024,$172.75,60139470,$172.94,$174.38,$172.05
