Date,Close/Last,Volume,Open,High,Low
04/10/2024,$185.95,35879150,$182.765,$186.2699,$182.67
04/09/2024,$185.67,36546950,$187.24,$187.34,$184.20
04/08/2024,$185.19,39221280,$186.90,$187.29,$184.81
04/05/2024,$185.07,42373990,$182.38,$186.27,$181.97
04/04/2024,$180.00,41624260,$184.00,$185.10,$180.00
04/03/2024,$182.41,31046640,$179.90,$182.87,$179.80
04/02/2024,$180.69,32611550,$179.07,$180.79,$178.3762
04/01/2024,$180.97,29174520,$180.79,$183.00,$179.95
03/28/2024,$180.38,38051590,$180.17,$181.70,$179.26
03/27/2024,$179.83,33272550,$179.88,$180.00,$177.3099
03/26/2024,$178.30,29658980,$180.15,$180.45,$177.95
03/25/2024,$179.71,29815460,$178.01,$180.99,$177.24
03/22/2024,$178.87,27995380,$177.752,$179.255,$176.75
03/21/2024,$178.15,32824320,$179.988,$181.415,$178.15
03/20/2024,$178.15,29947150,$176.14,$178.53,$174.64
03/19/2024,$175.90,26880890,$174.215,$176.09,$173.52
03/18/2024,$174.48,31250690,$175.80,$176.69,$174.28
03/15/2024,$174.42,72147390,$176.64,$177.93,$173.90
03/14/2024,$178.75,43705840,$177.69,$179.53,$176.465
03/13/2024,$176.555,30772600,$175.90,$177.62,$175.55
03/12/2024,$175.39,36610600,$173.50,$176.76,$171.98
03/11/2024,$171.96,28484780,$174.31,$174.47,$171.47
