Date,Close/Last,Volume,Open,High,Low
04/10/2024,3569.98,N/A,3513.99,3575.07,3525.09
04/09/2024,3504.18,N/A,3690.88,3534.85,3466.66
04/08/2024,3689.90,N/A,3422.79,3723.75,3670.36
04/07/2024,3420.77,N/A,3388.67,3457.19,3409.58
04/06/2024,3392.61,N/A,3331.11,3413.13,3344.89
04/05/2024,3331.56,N/A,3307.81,3344.53,3307.23
04/04/2024,3303.41,N/A,3274.01,3333.05,3253.65
04/03/2024,3281.84,N/A,3314.83,3332.96,3263.24
04/02/2024,3314.83,N/A,3365.60,3321.16,3203.21
04/01/2024,3364.04,N/A,3611.59,3505.39,3334.14
03/31/2024,3612.18,N/A,3537.30,3647.08,3601.44
03/30/2024,3535.65,N/A,3489.63,3543.65,3505.17
03/29/2024,3491.68,N/A,3562.39,3521.01,3489.76
03/28/2024,3562.04,N/A,3497.03,3583.18,3551.01
03/27/2024,3487.80,N/A,3603.11,3527.64,3470.62
03/26/2024,3611.25,N/A,3623.87,3625.91,3577.41
03/25/2024,3635.95,N/A,3452.06,3641.56,3582.01
03/24/2024,3360.27,N/A,3354.42,3377.79,3327.55
03/23/2024,3321.56,N/A,3338.92,3368.03,3310.73
03/22/2024,3294.18,N/A,3522.30,3358.32,3275.78
03/21/2024,3517.52,N/A,3513.60,3518.01,3455.33
03/20/2024,3501.00,N/A,3158.51,3557.36,3496.20
03/19/2024,3207.73,N/A,3419.61,3264.07,3156.98
03/18/2024,3407.51,N/A,3600.34,3546.23,3370.44
03/17/2024,3605.03,N/A,3569.42,3644.77,3561.17
03/16/2024,3567.16,N/A,3736.97,3582.07,3507.11
03/15/2024,3735.77,N/A,3670.84,3778.60,3723.60
03/14/2024,3745.61,N/A,3992.33,3931.33,3627.84
03/13/2024,3992.63,N/A,4042.98,4009.92,3959.16
03/12/2024,4043.55,N/A,4028.30,4044.06,3974.50
03/11/2024,4039.05,N/A,3864.20,4091.28,4036.17
