Date,Close/Last,Volume,Open,High,Low
04/10/2024,$423.26,16216580,$422.19,$424.03,$419.70
04/09/2024,$426.28,12512290,$426.44,$427.74,$421.62
04/08/2024,$424.59,14272390,$425.17,$427.28,$423.30
04/05/2024,$425.52,16554760,$420.01,$426.51,$418.32
04/04/2024,$417.88,19370880,$424.99,$428.67,$417.57
04/03/2024,$420.45,16502260,$419.73,$423.26,$419.085
04/02/2024,$421.44,17911990,$420.11,$422.38,$417.84
04/01/2024,$424.57,16315960,$423.95,$427.89,$422.22
03/28/2024,$420.72,21871160,$420.96,$421.87,$419.12
03/27/2024,$421.43,16704980,$424.44,$424.45,$419.01
03/26/2024,$421.65,16725650,$425.61,$425.99,$421.35
03/25/2024,$422.86,18060450,$425.24,$427.41,$421.61
03/22/2024,$428.74,17648470,$429.70,$429.86,$426.07
03/21/2024,$429.37,21296220,$429.83,$430.82,$427.16
03/20/2024,$425.23,17860090,$422.00,$425.96,$420.66
03/19/2024,$421.41,19837920,$417.83,$421.6656,$415.55
03/18/2024,$417.32,20105980,$414.25,$420.73,$413.78
03/15/2024,$416.42,45079900,$419.29,$422.60,$412.79
03/14/2024,$425.22,34157300,$420.24,$427.82,$417.99
03/13/2024,$415.10,17115930,$418.10,$418.18,$411.45
03/12/2024,$415.28,22457000,$407.62,$415.57,$406.79
03/11/2024,$404.52,16120750,$403.762,$405.68,$401.26
